+-------------------------------------------------------------------------+-----------+---------------+
|                                  Name                                   |    Id     |   TotalSize   |
+-------------------------------------------------------------------------+-----------+---------------+
| MiSeq: AmpliSeq Myeloid DNA Panel (Acrometrix,                          | 86601535  | 12230654159   |
| Coriell, Horizon, and SeraSeq Samples)                                  |           |               |
| NovaSeq 6000 SP: Metagenomics (ATCC Microbiome                          | 115250177 | 195308556990  |
| Standard MSA-1002 and MSA-1003)                                         |           |               |
| DRAGEN Germline Demo Project                                            | 128726599 | 2842297386021 |
| OncoCNV Baselines                                                       | 133223090 | 212185        |
| V6bed_file                                                              | 157296143 | 0             |
| 20090_plate1560_RNA                                                     | 157495339 | 0             |
| bed_file                                                                | 158781629 | 19259702620   |
| somatic352                                                              | 159080938 | 0             |
| RNA                                                                     | 162009857 | 0             |
| V6_germline                                                             | 163774612 | 15061937235   |
| V7_somatic                                                              | 163797635 | 40840546318   |
| downsampling                                                            | 164281127 | 0             |
| fusion_detection                                                        | 166111946 | 0             |
| inhouse_cnv                                                             | 169596432 | 0             |
| TMH_RNA                                                                 | 183147971 | 0             |
| Dragen_germline_control                                                 | 192056868 | 0             |
| ACTREC_Passed_Samples                                                   | 201908710 | 0             |
| 21801_plate1596_RNA                                                     | 202807606 | 0             |
| 21801_plate1597_RNA                                                     | 203121919 | 0             |
| 21801_plate1599_DNA                                                     | 203121921 | 0             |
| 21801_plate1600_DNA                                                     | 203121922 | 0             |
| 21801_plate1601_DNA                                                     | 203121923 | 0             |
| QC_Somatic_Patient_Samples                                              | 206463258 | 0             |
| MT23_1600_DNA                                                           | 207726522 | 0             |
| TMB_Samples                                                             | 213409199 | 188318655110  |
| Trimming_Test                                                           | 219837620 | 0             |
| DO_NOT_USE_22251_4bc_201224_Trascriptomes                               | 222000779 | 0             |
| 22251_4bc_201224_Exomes                                                 | 222000780 | 0             |
| MSI_Test                                                                | 223619398 | 0             |
| 22537_4bc_201224_Trascriptomes                                          | 226059834 | 0             |
| Pre_Covid_Samples                                                       | 237974748 | 0             |
| 4basecare_23895                                                         | 273975714 | 0             |
| 4basecare_23900                                                         | 273979718 | 0             |
| Pre_covid_Agilent                                                       | 276311038 | 0             |
| MultiQC_test                                                            | 295682389 | 0             |
| RNA_AS_SSB_8                                                            | 308147842 | 0             |
| RNA_AS_SSIT                                                             | 308622314 | 0             |
| RNA_AS_FFPE                                                             | 308657349 | 0             |
| 4basecare_M000511                                                       | 313526438 | 514930794427  |
| 4basecare_M001974_cfDNA                                                 | 315195991 | 1222161657696 |
